economy,PA.NUS.FCRF,PA.NUS.FCRF:T
ABW,1.79,2020
AFG,76.8135364354897,2020
AGO,578.258780280111,2020
ALB,108.65,2020
ARE,3.6725,2020
ARG,70.5391666666667,2020
ARM,489.008858590915,2020
ATG,2.7,2020
AUS,1.45308511847016,2020
AUT,12.379065,1998
AZE,1.7,2020
BDI,1915.04617583333,2020
BEL,36.2986408333333,1998
BEN,574.294549649046,2020
BFA,575.586004510945,2020
BGD,84.8713916666667,2020
BGR,1.71633333333333,2020
BHR,0.376,2020
BHS,1.0,2020
BIH,1.71697049519219,2020
BLR,2.439575,2020
BLZ,2.0,2020
BMU,1.0,2020
BOL,6.91,2020
BRA,5.15517878751281,2020
BRB,2.0,2020
BRN,1.37970342971399,2020
BTN,74.0995668836052,2020
BWA,11.4562416666667,2020
CAF,575.586004510945,2020
CAN,1.34115267222386,2020
CHE,0.938965,2020
CHL,792.727206103168,2020
CHN,6.90076726944925,2020
CIV,575.586004510945,2020
CMR,575.586004510945,2020
COD,1851.12216183261,2020
COG,575.586004510945,2020
COL,3694.85407196453,2020
COM,430.720912236785,2020
CPV,96.7957427869885,2020
CRI,584.900854962304,2020
CUB,0.821999999,1974
CUW,1.79,2020
CYM,0.83333,2020
CYP,0.426125,2007
CZE,23.21025,2020
DEU,1.7596676,1998
DJI,177.721,2020
DMA,2.7,2020
DNK,6.54215220416667,2020
DOM,56.5245333333333,2020
DZA,126.7768,2020
ECU,1.0,2020
EGY,15.7591729166667,2020
EMU,0.875506396987983,2020
ERI,15.075,2020
ESP,149.395331666667,1998
EST,11.8068482348947,2010
ETH,34.9271654040404,2020
FIN,5.34406583333333,1998
FJI,2.16880492424242,2020
FRA,5.89951566666667,1998
FRO,6.73171825724638,2016
FSM,1.0,2020
GAB,575.586004510945,2020
GBR,0.779999576697153,2020
GEO,3.10901666666667,2020
GHA,5.59570833333333,2020
GIB,0.779999576697153,2020
GIN,9565.08218343833,2020
GMB,51.5016603661723,2020
GNB,575.586004510945,2020
GNQ,575.586004510945,2020
GRC,365.398560833333,2000
GRD,2.7,2020
GRL,6.73171825724638,2016
GTM,7.72165,2020
GUY,208.5,2020
HKG,7.75725,2020
HND,24.5818805172846,2020
HRV,6.6140555,2020
HTI,93.5098072136213,2020
HUN,307.996666666667,2020
IDN,14582.2034678177,2020
IMN,0.779999576697153,2020
IND,74.0995668836052,2020
IRL,0.702270998333333,1998
IRN,42000.0,2020
IRQ,1192.0,2020
ISL,135.421711629205,2020
ISR,3.44240585198792,2020
ITA,1736.20738333333,1998
JAM,142.402832756013,2020
JOR,0.71,2020
JPN,106.774582262437,2020
KAZ,412.953333333333,2020
KEN,106.450780158517,2020
KGZ,77.3461127039303,2020
KHM,4092.78321900878,2020
KIR,1.45308511847016,2020
KNA,2.7,2020
KOR,1180.26583333333,2020
KWT,0.306233121756716,2020
LAO,9143.93583986809,2020
LBN,1507.5,2020
LBR,191.517957643463,2020
LBY,1.39826289736928,2019
LCA,2.7,2020
LKA,185.592557772213,2020
LSO,16.4731868743465,2020
LTU,2.60029166666667,2014
LUX,36.2986408333333,1998
LVA,0.529391666666667,2013
MAC,7.98906191666667,2020
MAR,9.49684732221969,2020
MDA,17.3218352091831,2020
MDG,3787.75405817574,2020
MDV,15.3812695278705,2020
MEX,21.4856083333333,2020
MKD,54.144325,2020
MLI,575.586004510945,2020
MLT,0.311675,2007
MMR,1381.61916666667,2020
MNE,0.877475207233012,2020
MNG,2813.2898353264,2020
MOZ,69.465,2020
MRT,37.1891666666667,2020
MUS,39.3469333333333,2020
MWI,749.527493882201,2020
MYS,4.20348194851884,2020
NAM,16.4632666666667,2020
NCL,104.710608186968,2020
NER,575.586004510945,2020
NGA,358.810797258297,2020
NIC,34.3421221197024,2020
NLD,1.983733,1998
NOR,9.41583333333333,2020
NPL,118.345187275986,2020
NRU,1.45308511847016,2020
NZL,1.54205833333333,2020
OMN,0.3845,2020
PAK,161.838479684718,2020
PAN,1.0,2020
PER,3.4949411976912,2020
PHL,49.6240960026328,2020
PLW,1.0,2020
PNG,3.45997438644787,2020
POL,3.89974166666667,2020
PRT,180.10448,1998
PRY,6771.09742519651,2020
PYF,104.710608186968,2020
QAT,3.64,2020
ROU,4.24399166666667,2020
RUS,72.1049083333333,2020
RWA,943.278048166667,2020
SAU,3.75,2020
SDN,53.9960119047619,2020
SEN,575.586004510945,2020
SGP,1.37974166666667,2020
SLB,8.21341290967261,2020
SLE,9829.92676332375,2020
SLV,1.0,2020
SMR,0.877475207233012,2020
SOM,23097.9873219373,2017
SRB,103.163291666667,2020
SSD,165.907316666667,2020
STP,21.5070590993582,2020
SUR,9.30954545454546,2020
SVK,21.3614166666667,2008
SVN,191.028257833333,2006
SWE,9.21030902842085,2020
SWZ,16.4702558654325,2020
SXM,1.79,2020
SYC,17.6165187554113,2020
SYR,492.610833333333,2017
TCD,575.586004510945,2020
TGO,575.586004510945,2020
THA,31.2936732130832,2020
TJK,10.3219416666667,2020
TKM,5200.0,2001
TLS,1.0,2020
TON,2.29956150787889,2020
TTO,6.75105268711505,2020
TUN,2.81235833333333,2020
TUR,7.00860541558522,2020
TZA,2294.14615050509,2020
UGA,3718.24892270924,2020
UKR,26.9575243833333,2020
URY,42.0132916666667,2020
USA,1.0,2020
UZB,10054.2613341653,2020
VCT,2.7,2020
VEN,9.975,2017
VNM,23208.3683333333,2020
VUT,115.38,2020
WSM,2.66496084519696,2020
XKX,0.877475207233012,2020
YEM,740.5,2020
ZAF,16.4591053903333,2020
ZMB,18.3440926453379,2020
ZWE,51.3290131226287,2020
