economy,SH.XPD.GHED.PC.CD,SH.XPD.GHED.PC.CD:T
AFE,43.8300388099369,2019
AFG,5.38899046,2019
AFW,13.4456177986871,2019
AGO,29.40330087,2019
ALB,148.4365691,2018
AND,1906.85942943,2019
ARB,222.868900342099,2019
ARE,963.68927564,2019
ARG,589.92823278,2019
ARM,65.00251312,2019
ATG,444.29702313,2019
AUS,3890.51439862,2019
AUT,3827.19825686,2019
AZE,61.28403363,2019
BDI,6.86518735,2019
BEL,3808.43816884,2019
BEN,6.59708499,2019
BFA,17.7057667,2019
BGD,8.54123854,2019
BGR,412.84511231,2019
BHR,556.75720436,2019
BHS,1041.64834169,2019
BIH,380.60522762,2019
BLR,281.09976022,2019
BLZ,205.00211731,2019
BOL,175.18552244,2019
BRA,347.67692994,2019
BRB,512.59995323,2019
BRN,633.41721174,2019
BTN,85.32454068,2019
BWA,378.11800433,2019
CAF,3.9320352,2019
CAN,3542.31549705,2019
CEB,809.759420915345,2019
CHE,3103.81145025,2019
CHL,700.52022884,2019
CHN,299.56252019,2019
CIV,21.83628109,2019
CMR,1.8114012,2019
COD,3.2538868,2019
COG,18.25517912,2019
COL,356.06513903,2019
COM,11.62173655,2019
CPV,116.98636049,2019
CRI,668.48040316,2019
CSS,352.485421678569,2019
CUB,921.34755722,2019
CYP,1118.14242008,2019
CZE,1503.00832964,2019
DEU,4228.47802482,2019
DJI,33.17048432,2019
DMA,283.73753879,2019
DNK,5000.14855285,2019
DOM,220.47022986,2019
DZA,161.33328493,2019
EAP,228.926585190287,2019
EAR,87.8860498135788,2019
EAS,497.524188296273,2019
ECA,282.707821123072,2019
ECS,1704.57197078429,2019
ECU,300.51103875,2019
EGY,41.6326191,2019
EMU,2972.49707195667,2019
ERI,4.44841462,2019
ESP,1914.63151529,2019
EST,1189.78740331,2019
ETH,6.07131503,2019
EUU,2603.69175686383,2019
FCS,22.9893433482273,2019
FIN,3567.67296773,2019
FJI,154.1040088,2019
FRA,3382.80270974,2019
FSM,117.6372798,2019
GAB,129.68005056,2019
GBR,3427.36779151,2019
GEO,118.8232549,2019
GHA,30.29393762,2019
GIN,9.69383403,2019
GMB,8.09971751,2019
GNB,3.99005316,2019
GNQ,54.17559345,2019
GRC,722.16916245,2019
GRD,221.13929997,2019
GTM,104.14016955,2019
GUY,193.72834493,2019
HIC,3542.52318298703,2019
HND,73.45335214,2019
HPC,14.2138196553654,2019
HRV,848.11836339,2019
HTI,6.2798543,2019
HUN,722.23915974,2019
IBD,190.818558892186,2019
IBT,146.599616225637,2019
IDA,14.0819566891736,2019
IDB,16.9933271772049,2019
IDN,58.78513115,2019
IDX,12.5183997514436,2019
IND,20.90209403,2019
IRL,4048.53417253,2019
IRN,232.88330296,2019
IRQ,125.06258045,2019
ISL,5201.23737498,2019
ISR,2239.03480783,2019
ITA,2147.72580618,2019
JAM,213.63152919,2019
JOR,170.94776508,2019
JPN,3656.55159017,2019
KAZ,163.61053358,2019
KEN,38.35184073,2019
KGZ,31.95594431,2019
KHM,27.54318045,2019
KIR,141.80710723,2019
KNA,535.80168775,2019
KOR,1562.34503255,2019
KWT,1529.36305749,2019
LAC,327.430844467786,2019
LAO,25.19649388,2019
LBN,324.77095304,2019
LBR,8.46068013,2019
LBY,196.13438074,2011
LCA,238.26520867,2019
LCN,336.026866701855,2019
LDC,10.4102501865719,2019
LIC,7.31677716654904,2019
LKA,75.88446572,2019
LMC,37.1554828745702,2019
LMY,141.751533461281,2019
LSO,54.07115002,2019
LTE,322.288128205494,2019
LTU,891.70282825,2019
LUX,5341.74699628,2019
LVA,706.58697456,2019
MAR,69.47430472,2019
MCO,2468.92811434,2019
MDA,169.69316916,2019
MDG,6.38882659,2019
MDV,679.36682039,2019
MEA,297.938358577563,2019
MEX,266.44528253,2019
MHL,273.46855046,2019
MIC,154.788609627523,2019
MKD,257.6222445,2019
MLI,11.53555985,2019
MLT,1597.70012217,2019
MMR,9.45702019,2019
MNA,130.900199014924,2019
MNE,447.23456804,2019
MNG,92.58838369,2019
MOZ,8.39857465,2019
MRT,21.69320479,2019
MUS,322.68364804,2019
MWI,9.90828818,2019
MYS,227.89687005,2019
NAC,5346.07225478172,2019
NAM,200.38441559,2019
NER,11.20592453,2019
NGA,11.39634837,2019
NIC,97.93086278,2019
NLD,3515.79926539,2019
NOR,6871.95390738,2019
NPL,13.21003497,2019
NRU,905.74627675,2019
NZL,3181.91571015,2019
OED,3052.81757382888,2019
OMN,540.05682761,2019
OSS,445.609775981419,2019
PAK,12.63377025,2019
PAN,788.61705318,2019
PER,232.76616272,2019
PHL,57.68075683,2019
PLW,1059.79703465,2019
PNG,37.5428024,2019
POL,723.87111549,2019
PRE,17.2650818362723,2019
PRT,1353.01696565,2019
PRY,178.65769145,2019
PSS,139.664432310192,2019
PST,3646.79302716423,2019
QAT,1314.92916178,2019
ROU,591.87914899,2019
RUS,399.57712629,2019
RWA,20.53217344,2019
SAS,19.2577380561902,2019
SAU,910.51740855,2019
SDN,10.64696724,2019
SEN,14.79427458,2019
SGP,1321.67493268,2019
SLB,83.63543614,2019
SLE,6.46398056,2019
SLV,190.47460396,2019
SMR,2508.4916975,2019
SRB,374.04771452,2019
SSA,31.3375669544088,2019
SSD,3.69057332,2019
SSF,31.3893938382181,2019
SST,410.422653902596,2019
STP,51.29260771,2019
SUR,445.95633356,2019
SVK,1057.76859987,2019
SVN,1605.97136341,2019
SWE,4814.13623769,2019
SWZ,133.96567474,2019
SYC,610.79794304,2019
SYR,31.62370821,2012
TCD,5.16850142,2019
TEA,228.937288584763,2019
TEC,324.465362981621,2019
TGO,7.71268233,2019
THA,212.22896218,2019
TJK,16.90058305,2019
TKM,89.96085645,2019
TLA,324.991759664502,2019
TLS,51.81134383,2019
TMN,130.900199014924,2019
TON,140.71289184,2019
TSA,19.2577380561902,2019
TSS,31.3893938382181,2019
TTO,537.00005265,2019
TUN,133.17551033,2019
TUR,308.92126314,2019
TUV,722.43816294,2019
TZA,16.49381593,2019
UGA,4.89910268,2019
UKR,111.14013669,2019
UMC,309.20110701535,2019
URY,1106.20377382,2019
USA,5552.60023012,2019
UZB,40.9931661,2019
VCT,235.27860496,2019
VEN,156.00124826,2019
VNM,79.15112415,2019
VUT,59.47418677,2019
WLD,671.102859637235,2019
WSM,197.52389023,2019
YEM,7.45118041,2015
ZAF,321.23417237,2019
ZMB,27.78617575,2019
ZWE,18.16564219,2019
