commodity,commodity_code
Cereals,10
Commodities not specified,99
"Mineral fuels and oils, and related products",27
Iron and steel,72
"Animal or vegetable fats, oils, waxes",15
Vehicles,87
Fertilizers,31
Copper,74
Wood (and articles &charcoal),44
Electrical machinery and equipment (inc sound and tv recorders and reproducers),85
"Inorganic chemicals, precious, rare earth metals, radio-active elements, isotopes",28
"Nuclear reactors, parts and related products",84
"Railway, tramway locomotives, rolling-stock and parts",86
"Ores, slag and ash",26
"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus",90
Paper and paperboard (and related),48